"name","page","address","bytes","disabled","scale_minimum","scale_maximum","display_minimum","display_maximum","display_interval","units","short_desc","long_desc"
"RT_ENGINESPEED","0xf8","0x237c","2","","0.000000","65535.000000","0.000000","12000.000000","1000.000000","RPM"," Engine Speed"," Engine Speed in rpm as measured by the crankshaft sensor. This is the primary input for the fuel and ignition maps"
"RT_ENGINESPEEDSITE","0xf8","0x237e","2","","0.000000","64.000000","0.000000","64.000000","16.000000","Site"," Engine Speed Site"," The engine speed is converted into an index by the Speed Index Map. This index is used to access the main fuel and ignition maps. You should not edit this map directly but adjust the axis values on a map that uses Engine Speed (Eg TPS vs Speed Ign Map)."
"RT_SOFTCUTTIME","0xf9","0x23ba","2","","0.000000","65535.000000","0.000000","10000.000000","1000.000000","RPM"," Soft Cut"," Shows what the ECU is using as the soft cut threshold."
"RT_HARDCUTTIME","0xf9","0x23bc","2","","0.000000","65535.000000","0.000000","10000.000000","1000.000000","RPM"," Hard Cut"," Shows what the ECU is using as the hard cut threshold."
"RT_WHEELSPEEDREVLIMITSITE","0xe3","0xfa","1","","0.000000","16.000000","0.000000","16.000000","1.000000","Site"," Rev Limit Site for Speed Dependant Rev Limit"," Rev Limit Site for speed dependant rev limit"
"RT_WHEELSPEEDREVLIMIT","0xe3","0x23fc","2","","0.000000","65535.000000","0.000000","65535.000000","10000.000000","RPM"," Rev Limit from road speed"," Rev Limit from road speed"
"RT_REVOLUTIONCOUNTER","0xf8","0x232c","2","","0.000000","65535.000000","0.000000","65535.000000","5000.000000","Revs"," Revolution Counter"," The number of revolutions since the engine was last stopped. Limited at 65534."
"RT_REVCOUNTERINDEX","0xf8","0x28","1","","0.000000","255.000000","0.000000","255.000000","25.000000","RC Site"," Rev Counter Index"," The output of the RC Index map. Provides a site number for properties that are dependent on the length of the time the engine has been running."
"RT_DSPEEDBYDT_1","0xe5","0xfffe","2","DISABLED","0.000000","32.000000","0.000000","32.000000","1.000000","rpm"," ROC Speed (Primary)"," dSpeed/dt. Rate of change of Engine Speed."
"RT_DSPEEDBYDT_2","0xf6","0x4342","2","","0.000000","32.000000","0.000000","32.000000","1.000000","Rev Time 2"," Rate Of Change of Engine Speed"," Rate Of Change of Engine Speed"
"RT_ENGINESPEEDSITE_8","0xf6","0xdd","1","","0.000000","8.000000","0.000000","8.000000","1.000000","Site"," Engine Speed Site (8)"," Reduced resoltion Speed Site"
"RT_ERT_TIMETOREVLIMIT","0x25","0x6968","2","","0.000000","1092.250000","0.000000","1000.000000","100.000000","min"," Engine Run Time Remaining Before Low Rev Limit"," Engine Run Time Remaining Before Low Rev Limit"
"RT_TIMESPENTCRANKING","0x00","0x00","1","DISABLED","0.000000","26.624001","0.000000","20.000000","1.000000","s"," Time in cranking"," How long the engine has been cranking for."
"RT_LOWERCAMWINDOW","0xe6","0xb7b6","2","DISABLED","0.000000","65536.000000","0.000000","65536.000000","0.000000","-"," Lower Cam Window"," Lower Cam Window"
"RT_UPPERCAMWINDOW","0xe6","0xb9b8","2","DISABLED","0.000000","65536.000000","0.000000","65536.000000","0.000000","-"," Upper Cam Window"," Upper Cam Window"
"RT_MEASUREDCAM1PHASE","0x13","0x1918","2","","-360.000000","360.000000","-360.000000","360.000000","72.000000","deg"," Measured Cam 1 Phase"," Measured Cam 1 Phase. This shows the angle after TDC Firing No 1 to the Cam Edge. If the Crank Sensor Position Offset is positive then the ECU will sync with the Cam Phase as a poitive number. Likewise if the Crank Sensor Position Offset is negative then the ECU will sync with the Cam Phase as a negative number."
"RT_MAXCAMSWINGFROMMAGICTOOTH","0x19","0x3b3a","2","","-360.000000","360.000000","-360.000000","360.000000","72.000000","deg"," Max Cam Swing with Crank Tooth Sync"," Max Cam Swing with Crank Tooth Sync"
"RT_THROTTLEANGLE1(RAW)","0xf8","0x2330","2","","0.000000","5.000000","0.000000","5.000000","0.500000","V"," Throttle Angle 1 (Raw)"," The voltage as measured from the primary throttle pot before being limit checked"
"RT_THROTTLEANGLE1(LIM)","0xf8","0x2360","2","","0.000000","5.000000","0.000000","5.000000","0.500000","V"," Throttle Angle 1"," The voltage measured from the primary throttle pot after being limit checked"
"RT_THROTTLEANGLEINCREASING","0xf8","0x2350","2","","0.000000","5.000000","0.000000","5.000000","0.500000","V"," Throttle Angle Increasing"," This is the limit checked voltage which takes into account the direction of the throttle pot. This voltage will always increase with opening throttle."
"RT_TIMEDTHROTTLEANDGLE1","0xf8","0x2374","2","","0.000000","5.000000","0.000000","5.000000","0.500000","V"," Timed Throttle Angle 1"," The voltage measured from the primary throttle pot after being limit checked. This measurement is taken on a regular basis for features that require a rate of change of throttle such Accel Fuel."
"RT_THROTTLESITE1","0xf8","0x64","1","","0.000000","16.000000","0.000000","16.000000","1.000000","Site"," Throttle Site 1"," The index of throttle pot 1. This number is used to access all TPS maps"
"RT_THROTTLESITE1_32","0xf7","0xff","1","DISABLED","0.000000","32.000000","0.000000","32.000000","1.000000","Site"," Throttle Site 1 (32 Sites)"," An enhanced throttle site variable with 32 set points. This number can be used to index a TPS vs Speed Fuel map if required."
"RT_MINSEENTHROTTLE1","0xf6","0x23f8","2","DISABLED","0.000000","5.000000","0.000000","5.000000","0.500000","V"," Min Seen Throttle 1"," The minimum value seen from this pot."
"RT_LEARNTTHROTTLE1","0xf6","0x23fc","2","DISABLED","0.000000","5.000000","0.000000","5.000000","0.500000","V"," Learnt Throttle 1"," The throttle voltage used to index the site map. This value has been compensated by the minimum seen value."
"RT_THROTTLEANGLE2(RAW)","0xf8","0x2332","2","DISABLED","0.000000","5.000000","0.000000","5.000000","0.500000","V"," Throttle Angle 2 (Raw)"," The voltage as measured from the secondary throttle pot before being limit checked"
"RT_THROTTLEANGLE2(LIM)","0xf8","0x2362","2","DISABLED","0.000000","5.000000","0.000000","5.000000","0.500000","V"," Throttle Angle 2"," The voltage measured from the secondary throttle pot after being limit checked"
"RT_THROTTLESITE2","0xf8","0x65","1","DISABLED","0.000000","16.000000","0.000000","16.000000","1.000000","Site"," Throttle Site 2"," The index of throttle pot 2. This number is used to access all TPS maps"
"RT_MINSEENTHROTTLE2","0xf6","0x23fa","2","DISABLED","0.000000","5.000000","0.000000","5.000000","0.500000","V"," Min Seen Throttle 2"," The minimum value seen from this pot."
"RT_LEARNTTHROTTLE2","0xf6","0x23fe","2","DISABLED","0.000000","5.000000","0.000000","5.000000","0.500000","V"," Learnt Throttle 2"," The throttle voltage used to index the site map. This value has been compensated by the minimum seen value."
"RT_THROTTLEANGLE3(RAW)","0xfa","0x2326","2","DISABLED","0.000000","5.000000","0.000000","5.000000","0.500000","V"," Throttle Angle 3 (Raw)"," The voltage as measured from the thrid throttle pot before being limit checked"
"RT_THROTTLEANGLE3(LIM)","0xfa","0x232a","2","DISABLED","0.000000","5.000000","0.000000","5.000000","0.500000","V"," Throttle Angle 3"," The voltage measured from the third throttle pot after being limit checked"
"RT_THROTTLESITE3","0xfa","0x2e","1","DISABLED","0.000000","16.000000","0.000000","16.000000","1.000000","Site"," Throttle Site 3"," The index of throttle pot 3. This number is used to access all TPS maps"
"RT_THROTTLEANGLE4(RAW)","0xfa","0x2328","2","DISABLED","0.000000","5.000000","0.000000","5.000000","0.500000","V"," Throttle Angle 4 (Raw)"," The voltage as measured from the fourth throttle pot before being limit checked"
"RT_THROTTLEANGLE4(LIM)","0xfa","0x232c","2","DISABLED","0.000000","5.000000","0.000000","5.000000","0.500000","V"," Throttle Angle 4"," The voltage measured from the fourth throttle pot after being limit checked"
"RT_THROTTLESITE4","0xfa","0x2f","1","DISABLED","0.000000","16.000000","0.000000","16.000000","1.000000","Site"," Throttle Site 4"," The index of throttle pot 4. This number is used to access all TPS maps"
"RT_TPS_REQUEST(RAW)","0xfa","0x2372","2","DISABLED","0.000000","5.000000","0.000000","5.000000","0.500000","V"," Throttle Pedal A(Raw)"," The voltage measured from the primary throttle pedal pot before being limit checked."
"RT_TPS_REQUEST(LIM)","0xfa","0x2370","2","DISABLED","0.000000","5.000000","0.000000","5.000000","0.500000","V"," Throttle Pedal A(Lim)"," The voltage measured from the primary throttle pedal pot after being limit checked."
"RT_TPS_REQUEST_SITE","0xf9","0x22","1","DISABLED","0.000000","16.000000","0.000000","16.000000","1.000000","Site"," Pedal Site"," The voltage from the pedal pot is converted into a site before being used to index the map for target throttle position"
"RT_PEDALB(RAW)","0xfa","0x235a","2","DISABLED","0.000000","5.000000","0.000000","5.000000","0.500000","V"," Throttle Pedal B(Raw)"," The voltage measured from the secondary throttle pedal pot. This value is not yet used on the 972 ECU."
"RT_PEDALB(LIM)","0xfa","0x235c","2","DISABLED","0.000000","5.000000","0.000000","5.000000","0.500000","V"," Throttle Pedal B(Lim)"," The voltage measured from the secondary throttle pedal pot. This value is not yet used on the 972 ECU."
"RT_PEDALB_SITE","0xf6","0x20","1","DISABLED","0.000000","16.000000","0.000000","16.000000","1.000000","Site"," Pedal B Site"," The voltage from the pedal pot is converted into a site before being used to index the map for target throttle position"
"RT_COOLANTTEMP1(LIM)","0xf8","0x2344","2","","-30.000000","130.000000","-30.000000","130.000000","10.000000",""," Coolant Temp"," Note that this value has been calibrated for the sensor and has been through the limit checking process."
"RT_COOLANTTEMP1(LIM)_8BIT","0xf8","0x45","1","","-30.000000","130.000000","-30.000000","130.000000","10.000000",""," Coolant Temp (8 Bit)"," Note that this value has been calibrated for the sensor and has been through the limit checking process."
